params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",4.677079000000049,100,-0.08709682258195924,-0.0784473684210526,-0.16923076923076924,-0.0045454545454545695,0.03482820148167629
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.95}",2.6016890000000785,100,-0.17392757300171285,-0.1642857142857143,-0.27999999999999997,-0.12093023255813952,0.03540674523449445
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.99}",2.5513610000000426,100,-0.17381684427739252,-0.1642857142857143,-0.27999999999999997,0.004999999999999982,0.05047973084862224
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",22.890660000000025,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",20.58532100000002,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",9.75366199999985,100,-0.08422631466420867,-0.08446609891909596,-0.1183673469387755,-0.008695652173913071,0.015121382601207798
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",10.690904000000046,100,-0.08412483108441758,-0.08576254826254825,-0.11124999999999999,-0.04473684210526317,0.013901582950655886
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",9.208963999999924,100,-0.07874104951729896,-0.07846097201767305,-0.11666666666666663,-0.016000000000000014,0.01806743833973084
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",8.698194999999942,100,-0.07736527402806638,-0.07846097201767305,-0.11956521739130431,-0.03225806451612906,0.015624839477940843
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",7.7785630000000765,100,-0.07592140299901722,-0.0797096713965646,-0.11874999999999998,-0.008695652173913071,0.018942646185982643
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",4.727673000000095,100,-0.11410690369624545,-0.11855867346938774,-0.2285714285714286,-2.114710523095536e-17,0.03956049389316289
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.95}",2.7160690000000614,100,-0.16653266037518447,-0.16675824175824178,-0.25,-0.10857142857142857,0.02894804726019908
